component_id,category,manufacturer,package_type,years_since_introduction,technology_node_nm,num_alternative_parts,num_authorized_distributors,monthly_demand_units,demand_trend_6m,demand_trend_12m,avg_lead_time_weeks,lead_time_increase_pct,price_trend_6m,num_pcn_notices,last_pcn_months_ago,manufacturer_financial_health,num_design_wins,cross_reference_count,rohs_compliant,automotive_qualified,military_grade,lifecycle_stage,will_go_eol_12m
CMP-00922,Transistors,NXP,BGA,0.8,130,2,2,643,-0.092,-0.009,32.7,5.3,-0.101,0,1.0,55.7,3,0,1,0,0,Active,0
CMP-00923,Diodes,NXP,CSP,3.2,65,7,0,221,-0.093,0.153,32.8,24.9,0.059,0,39.0,100.0,0,2,1,0,0,Active,0
CMP-00924,Resistors,Broadcom,CSP,1.2,250,2,6,902,0.16,0.212,8.6,17.7,0.186,1,7.0,52.5,92,2,1,1,0,Active,0
CMP-00925,Semiconductors,TDK,TO-220,1.4,65,5,3,67,-0.122,0.137,6.7,-14.0,-0.217,0,12.0,79.5,0,1,1,0,0,Active,0
CMP-00926,Capacitors,TDK,SMD-0805,9.2,90,6,2,295,0.292,0.305,30.9,41.5,0.15,0,35.0,59.3,16,5,0,0,0,Mature,0
CMP-00927,Connectors,STMicro,QFP,0.5,130,5,3,143,-0.029,0.13,8.0,22.3,-0.116,0,14.0,68.9,27,4,1,0,0,Active,0
CMP-00928,Inductors,Broadcom,SOIC,1.0,90,4,3,107,0.017,-0.492,12.5,4.3,-0.037,0,7.0,31.9,15,4,1,1,0,Active,0
CMP-00929,Capacitors,Analog Devices,SMD-0603,14.9,65,2,7,1256,0.032,0.14,10.4,14.6,-0.031,0,27.0,82.5,2,6,1,0,0,Last Buy,0
CMP-00930,Semiconductors,Broadcom,SMD-0603,14.9,28,1,7,532,0.029,-0.023,7.2,6.8,0.118,3,1.0,53.8,7,2,1,0,1,EOL Announced,1
CMP-00931,Transistors,Vishay,SOT-23,3.2,130,4,8,7331,,0.053,8.7,8.6,-0.252,2,20.0,77.8,5,2,1,1,1,Active,0
CMP-00932,ICs,ON Semi,DIP,0.7,40,8,5,2938,-0.043,0.046,7.3,9.6,0.128,0,0.0,83.4,2,2,1,0,0,Active,0
CMP-00933,Connectors,Texas Instruments,TO-220,9.8,65,4,8,2284,-0.022,0.208,5.3,0.2,0.098,1,1.0,53.1,6,3,1,0,0,Last Buy,0
CMP-00934,Semiconductors,TDK,SOT-23,3.6,14,5,3,23286,0.184,-0.133,9.3,-5.1,-0.017,2,59.0,81.4,55,5,1,1,0,Active,0
CMP-00935,Capacitors,Vishay,SOIC,0.5,40,5,4,503,0.188,-0.086,17.8,7.1,0.105,0,12.0,65.7,15,1,1,1,0,Active,0
CMP-00936,Semiconductors,Infineon,BGA,1.4,90,4,5,15673,-0.025,-0.069,34.0,25.0,0.133,0,1.0,77.4,20,1,1,1,0,Mature,0
CMP-00937,Transistors,Broadcom,CSP,1.2,65,1,2,1227,0.026,0.106,13.7,-3.3,0.021,0,40.0,57.6,12,3,1,1,0,Active,0
CMP-00938,Semiconductors,Samsung,SMD-0402,7.1,40,2,4,2683,0.033,0.185,7.9,13.2,-0.092,0,2.0,64.2,1,3,1,1,0,Declining,0
CMP-00939,Connectors,Samsung,CSP,18.3,22,3,4,26701,0.043,-0.19,19.5,-2.4,0.009,0,1.0,55.8,11,2,0,1,1,Last Buy,0
CMP-00940,Capacitors,Vishay,SOIC,12.6,28,5,7,13319,0.16,0.25,10.7,-16.7,0.169,0,9.0,68.9,29,2,1,0,0,Last Buy,0
CMP-00941,Connectors,STMicro,SOIC,6.3,90,4,5,833,-0.031,0.226,13.8,37.8,-0.016,0,3.0,53.7,5,6,1,0,0,Active,0
CMP-00942,Inductors,ON Semi,SMD-0805,4.4,22,3,5,3134,-0.026,-0.096,24.9,-2.6,-0.142,0,1.0,54.4,3,2,0,1,1,Active,0
CMP-00943,Transistors,Microchip,SMD-0805,7.7,65,2,9,504,0.014,-0.131,20.2,5.1,0.001,1,5.0,80.5,6,4,1,0,0,Mature,0
CMP-00944,Capacitors,Renesas,SMD-0805,4.7,65,1,4,3010,0.072,0.201,3.4,-5.7,0.005,0,1.0,49.3,7,3,1,0,0,Active,0
CMP-00945,Semiconductors,NXP,SMD-0805,2.3,250,4,2,4610,-0.113,-0.022,14.4,-2.7,0.054,0,9.0,87.4,7,1,1,1,0,Active,0
CMP-00946,Semiconductors,STMicro,DIP,9.1,10,7,11,215,-0.012,-0.239,9.5,31.5,-0.199,0,43.0,54.9,2,2,0,0,0,Last Buy,0
CMP-00947,Transistors,Vishay,TO-220,16.5,14,5,6,688,-0.08,-0.066,12.7,-18.1,0.049,1,6.0,57.2,4,3,1,1,0,EOL Announced,1
CMP-00948,Transistors,ON Semi,TSSOP,3.7,40,5,7,45605,0.041,-0.337,6.2,24.2,0.202,0,24.0,82.1,1,3,1,1,1,Mature,0
CMP-00949,Connectors,ON Semi,SMD-0603,14.7,65,7,4,1664,-0.089,-0.172,11.3,1.3,-0.085,0,1.0,68.7,25,1,0,0,0,EOL Announced,0
CMP-00950,Connectors,Intel,TO-220,4.5,10,2,7,3119,0.125,0.227,5.8,11.1,-0.075,1,1.0,94.6,6,2,0,0,0,Mature,0
CMP-00951,Inductors,Murata,TO-220,4.1,130,5,1,1411,-0.167,0.362,19.0,-11.8,0.016,1,5.0,63.8,19,1,1,1,1,Mature,0
CMP-00952,Semiconductors,Samsung,SMD-0603,0.5,40,5,3,138,-0.057,-0.048,25.6,9.4,-0.17,1,23.0,96.7,4,4,1,0,0,Active,0
CMP-00953,Transistors,Vishay,SMD-0805,9.5,28,3,5,17,-0.177,-0.045,7.9,20.7,0.028,1,5.0,56.0,5,2,1,0,0,Last Buy,1
CMP-00954,Resistors,ROHM,TO-220,13.2,28,3,2,2783,-0.028,0.142,30.5,30.0,-0.093,0,2.0,,43,5,1,0,0,Last Buy,0
CMP-00955,Resistors,Microchip,CSP,8.7,130,5,5,52,0.103,0.257,18.6,-0.3,0.066,0,9.0,66.3,16,4,1,0,0,Declining,0
CMP-00956,Connectors,Broadcom,DIP,1.3,22,3,5,771,-0.043,-0.205,18.1,-11.4,-0.114,0,19.0,70.8,7,1,1,1,0,Active,0
CMP-00957,Semiconductors,NXP,SMD-0805,0.9,22,3,5,2987,-0.129,-0.16,14.9,-3.8,0.239,1,23.0,72.4,5,2,1,0,0,Active,0
CMP-00958,Semiconductors,Broadcom,DIP,6.8,22,1,5,605,-0.293,0.152,18.7,-0.8,-0.036,1,2.0,64.7,18,2,1,0,0,Active,0
CMP-00959,Diodes,Murata,SOT-23,4.1,65,7,3,198,-0.32,-0.097,20.5,25.7,0.127,1,3.0,71.5,6,2,1,0,0,Active,0
CMP-00960,Semiconductors,Infineon,TSSOP,4.5,130,2,7,2100,-0.102,-0.082,3.7,10.1,0.122,0,0.0,73.1,6,2,1,0,0,Mature,0
CMP-00961,Connectors,TDK,TO-220,27.5,28,5,5,433,0.057,-0.468,16.5,9.4,-0.262,0,49.0,53.8,13,4,1,0,0,EOL Announced,1
CMP-00962,Capacitors,ROHM,CSP,10.3,22,9,5,7264,-0.247,0.11,35.1,15.4,0.145,0,10.0,63.0,9,5,1,1,0,Mature,0
CMP-00963,Resistors,Intel,TSSOP,4.2,22,5,4,974,-0.039,-0.064,12.8,0.0,-0.034,0,0.0,80.0,66,3,1,0,0,Mature,0
CMP-00964,Capacitors,TDK,QFN,0.5,65,6,2,1404,-0.19,0.268,20.1,-16.3,0.095,0,18.0,47.5,16,1,1,1,0,Active,0
CMP-00965,Resistors,Murata,DIP,0.5,22,6,9,11159,-0.032,-0.132,9.6,7.0,0.209,0,22.0,85.5,1,4,1,1,1,Active,0
CMP-00966,Inductors,Murata,SOT-23,9.2,130,1,6,631,0.046,0.164,4.0,14.1,0.158,1,7.0,62.4,0,0,1,0,0,Declining,0
CMP-00967,Capacitors,TDK,QFP,14.5,14,3,6,100,-0.231,0.026,7.7,-12.8,0.078,0,0.0,69.7,2,1,1,0,1,EOL Announced,0
CMP-00968,Connectors,Analog Devices,QFP,9.8,10,7,4,62,-0.126,-0.189,52.0,4.6,-0.114,0,60.0,83.7,5,4,1,0,0,Mature,0
CMP-00969,Resistors,NXP,SOT-23,4.2,14,4,4,1800,-0.074,-0.097,52.0,17.3,,2,6.0,62.8,11,4,1,1,1,Active,0
CMP-00970,Inductors,NXP,BGA,0.5,130,4,7,1626,0.164,-0.074,10.1,-20.0,-0.084,0,2.0,71.6,61,4,1,0,0,Active,0
CMP-00971,ICs,Texas Instruments,BGA,27.4,65,2,3,1675,0.058,-0.083,15.1,28.1,-0.007,1,59.0,52.9,3,4,1,1,0,Declining,0
CMP-00972,Diodes,Broadcom,SMD-0805,30.0,250,3,2,5165,0.059,0.041,27.7,1.1,-0.012,1,4.0,100.0,3,0,1,0,0,EOL Announced,1
CMP-00973,Capacitors,Microchip,BGA,6.4,28,3,4,870,0.057,0.243,12.8,-14.5,0.062,0,19.0,91.5,4,3,1,0,0,Mature,0
CMP-00974,Semiconductors,Infineon,QFP,0.6,22,4,6,115782,0.067,-0.228,18.0,19.2,-0.038,1,12.0,75.1,8,6,0,1,0,Mature,0
CMP-00975,Capacitors,Broadcom,CSP,6.2,65,5,3,4115,-0.246,0.005,38.8,16.9,0.033,0,28.0,76.3,7,5,0,1,0,Declining,0
CMP-00976,Connectors,NXP,BGA,17.8,65,0,4,707,-0.408,-0.119,15.7,8.4,0.088,0,2.0,68.7,7,3,1,1,0,Declining,0
CMP-00977,Semiconductors,Microchip,QFN,9.1,65,3,8,50,-0.218,-0.129,16.9,12.2,-0.011,0,26.0,68.9,34,3,1,0,0,Declining,0
CMP-00978,Resistors,Renesas,QFP,10.2,28,4,3,256,-0.097,0.144,11.6,-20.0,,0,10.0,57.9,3,0,1,0,0,Mature,0
CMP-00979,Connectors,Infineon,DIP,0.7,7,3,7,13376,0.058,0.192,8.0,19.8,0.124,1,3.0,77.9,4,5,0,1,0,Active,0
CMP-00980,Capacitors,Infineon,SOIC,0.9,10,2,5,18637,0.003,-0.198,21.5,-4.1,0.044,0,19.0,55.1,1,2,1,0,0,Active,0
CMP-00981,Diodes,Murata,BGA,1.1,65,9,5,10992,-0.157,0.017,28.0,-4.4,-0.007,1,42.0,74.8,0,7,1,1,0,Active,0
CMP-00982,Semiconductors,Infineon,BGA,18.8,65,4,10,221,0.024,-0.114,7.9,24.8,0.021,0,7.0,79.7,6,3,1,0,0,Last Buy,0
CMP-00983,Semiconductors,Intel,TO-220,6.0,130,4,7,1324,-0.348,-0.154,3.8,-11.3,0.13,0,26.0,74.5,0,1,1,0,0,Active,0
CMP-00984,Diodes,TDK,SMD-0603,12.5,28,5,4,2908,0.05,0.086,2.3,24.6,-0.014,1,3.0,58.8,4,1,1,1,0,EOL Announced,1
CMP-00985,Resistors,ROHM,QFN,1.0,130,2,4,17142,-0.095,0.138,14.5,11.8,-0.109,1,60.0,84.7,2,5,1,0,0,Active,0
CMP-00986,Inductors,Analog Devices,QFP,21.0,40,5,5,1788,0.306,0.221,11.8,22.4,-0.047,0,22.0,57.8,9,0,1,0,0,Last Buy,0
CMP-00987,Resistors,Texas Instruments,QFP,13.8,14,5,2,440,-0.152,0.246,33.9,-9.7,0.045,0,15.0,75.6,5,1,1,0,0,Declining,0
CMP-00988,Capacitors,Broadcom,TSSOP,2.0,250,2,4,140,,0.161,10.7,19.0,0.04,1,11.0,39.6,2,2,1,0,0,Mature,0
CMP-00989,Diodes,Vishay,SMD-0402,16.6,40,3,4,3685,0.179,-0.189,28.3,11.4,-0.135,0,19.0,91.7,28,4,0,1,0,EOL Announced,1
CMP-00990,Diodes,STMicro,SMD-0603,2.4,65,2,3,20,-0.215,0.355,7.7,4.3,0.185,0,28.0,62.4,1,4,1,0,0,Active,0
CMP-00991,Inductors,Texas Instruments,BGA,1.8,90,8,4,1215,-0.014,-0.238,16.8,-8.2,0.309,2,2.0,62.6,2,3,1,0,0,Active,0
CMP-00992,Capacitors,Intel,SOT-23,2.5,28,8,7,12594,-0.02,0.156,8.9,3.7,0.185,3,20.0,63.4,1,0,1,1,0,Active,0
CMP-00993,Connectors,Texas Instruments,TO-220,19.3,90,3,3,3056,0.099,0.04,10.9,-20.0,0.059,0,45.0,75.9,2,3,1,1,0,EOL Announced,1
CMP-00994,Resistors,Infineon,TSSOP,19.8,130,3,9,3128,-0.118,0.217,2.3,-10.7,-0.026,0,6.0,65.2,12,4,0,0,0,Declining,0
CMP-00995,Semiconductors,Murata,CSP,3.2,40,5,6,122,-0.044,0.222,5.8,4.5,0.109,1,27.0,33.5,28,6,0,1,0,Declining,0
CMP-00996,Transistors,ROHM,TSSOP,9.8,65,8,3,76,0.086,-0.192,9.2,-2.5,0.038,1,2.0,54.4,14,2,1,0,0,Declining,0
CMP-00997,Semiconductors,STMicro,DIP,9.0,90,5,0,620,-0.244,0.021,9.2,17.0,-0.002,1,41.0,84.3,3,4,1,0,1,Declining,0
CMP-00998,ICs,NXP,TO-220,13.1,22,2,4,193,0.081,-0.096,19.9,6.2,-0.035,0,1.0,75.1,3,3,1,0,0,Last Buy,0
CMP-00999,Resistors,Murata,BGA,2.8,28,4,3,696,0.095,-0.392,6.7,13.2,-0.087,0,0.0,55.3,3,2,1,1,0,Mature,0
CMP-01000,Semiconductors,Infineon,SMD-0402,5.7,14,3,3,4318,0.068,-0.156,20.0,25.5,0.054,0,9.0,79.2,37,2,1,0,0,Active,0
CMP-01001,Connectors,Infineon,SOIC,8.8,65,4,8,2719,0.029,-0.122,4.2,27.2,0.099,2,14.0,100.0,5,2,1,1,1,Declining,0
CMP-01002,Transistors,STMicro,CSP,0.5,130,8,12,563,-0.119,0.233,17.0,17.5,0.002,0,11.0,71.4,0,3,1,1,0,Active,0
CMP-01003,Diodes,STMicro,QFP,3.8,65,3,3,690,-0.115,-0.011,9.6,-0.6,-0.008,0,4.0,59.3,13,3,1,0,1,Active,0
CMP-01004,Diodes,Renesas,DIP,9.5,22,0,6,439,,0.265,6.5,28.4,0.082,2,29.0,63.6,17,1,1,1,1,Declining,0
CMP-01005,Inductors,Samsung,SMD-0603,2.3,65,3,7,2838,-0.021,0.176,22.2,-20.0,-0.099,1,22.0,49.0,8,4,1,0,0,Active,0
CMP-01006,Inductors,ROHM,CSP,25.3,130,2,5,182103,-0.096,0.048,34.3,-0.3,-0.057,0,38.0,83.0,9,6,1,1,0,EOL Announced,1
CMP-01007,Transistors,ON Semi,BGA,0.5,28,4,3,297,0.12,-0.102,23.7,26.4,-0.079,0,0.0,41.1,37,3,1,1,0,Active,0
CMP-01008,Capacitors,ROHM,TSSOP,25.4,130,6,3,234,0.101,-0.086,12.6,-11.6,0.133,2,8.0,73.2,3,4,1,1,0,EOL Announced,1
CMP-01009,Resistors,ON Semi,QFN,2.0,90,4,10,1480,0.141,-0.138,32.8,25.9,0.101,0,4.0,36.3,7,5,0,0,0,Active,0
CMP-01010,Capacitors,Microchip,SOT-23,0.5,10,5,4,141,0.337,0.252,16.8,4.0,,2,18.0,74.6,9,3,1,1,0,Active,0
CMP-01011,ICs,Analog Devices,TO-220,2.8,22,4,1,3241,0.258,-0.198,11.1,-5.7,-0.035,0,60.0,,16,2,1,0,1,Active,0
CMP-01012,ICs,Murata,SMD-0402,12.3,65,3,5,107199,-0.075,-0.055,5.8,15.9,0.145,2,6.0,73.6,8,3,1,0,0,Last Buy,0
CMP-01013,Semiconductors,NXP,CSP,11.2,90,6,4,66401,-0.032,-0.056,6.7,23.9,-0.082,0,35.0,75.0,10,3,1,0,0,Declining,0
CMP-01014,Inductors,Texas Instruments,SOIC,1.9,130,6,5,472,-0.132,0.432,21.3,18.0,-0.238,1,36.0,95.1,6,2,0,0,0,Active,0
CMP-01015,ICs,Infineon,SMD-0805,1.8,65,6,6,167,0.19,0.208,8.8,5.8,0.11,1,6.0,46.3,17,6,1,0,1,Active,0
CMP-01016,Semiconductors,Infineon,TSSOP,8.2,40,3,5,8387,-0.054,-0.057,6.2,-20.0,0.064,0,1.0,87.6,8,3,1,0,1,Mature,0
CMP-01017,Connectors,Samsung,SOT-23,4.9,22,4,5,5279,-0.038,-0.18,16.3,0.5,-0.071,0,36.0,94.6,13,1,1,0,0,Mature,0
CMP-01018,Transistors,Murata,BGA,12.6,90,2,5,2840,-0.002,-0.191,10.9,27.9,-0.073,0,29.0,90.5,3,2,0,1,0,EOL Announced,1
CMP-01019,Semiconductors,Analog Devices,SOIC,0.5,22,1,7,806,-0.014,0.231,11.2,-5.6,0.005,1,18.0,91.0,6,4,1,0,0,Active,0
CMP-01020,Inductors,Murata,TSSOP,7.5,90,5,7,3202,-0.189,-0.111,7.8,22.2,-0.017,0,9.0,87.4,3,4,1,1,0,Declining,0
CMP-01021,Capacitors,Renesas,SOT-23,10.5,22,5,8,689,0.225,-0.081,2.6,-16.0,0.007,0,4.0,86.8,7,9,1,1,1,Last Buy,0
CMP-01022,ICs,Broadcom,SOT-23,30.0,14,4,3,4135,0.276,0.121,6.1,23.9,0.222,3,7.0,47.0,7,3,1,1,0,EOL Announced,1
CMP-01023,ICs,TDK,QFP,9.1,28,5,7,2167,-0.092,-0.031,4.6,-20.0,-0.004,0,2.0,78.4,7,5,0,0,0,Declining,0
CMP-01024,ICs,Microchip,SOT-23,2.1,28,3,3,917,0.211,-0.148,21.4,-5.3,-0.07,0,31.0,26.4,4,3,1,0,1,Mature,0
CMP-01025,Resistors,STMicro,QFN,0.9,65,2,4,5431,-0.07,0.014,45.5,-4.2,0.066,0,3.0,96.4,1,2,1,0,1,Active,0
CMP-01026,Transistors,NXP,SOIC,8.2,22,3,7,99,0.207,0.155,11.0,-20.0,0.057,0,3.0,80.6,32,5,0,0,0,Mature,0
CMP-01027,Transistors,Analog Devices,BGA,5.9,180,7,8,5798,0.172,-0.195,2.1,9.5,0.13,0,39.0,75.9,27,1,0,0,1,Active,0
CMP-01028,Capacitors,STMicro,BGA,18.4,65,3,7,6769,-0.136,-0.15,12.8,1.0,-0.018,0,21.0,64.9,13,7,1,1,0,Last Buy,0
CMP-01029,Transistors,NXP,QFN,10.4,40,12,6,207,0.043,0.25,29.2,-1.9,0.07,0,5.0,,1,3,1,0,0,Last Buy,0
CMP-01030,Semiconductors,Broadcom,SMD-0603,5.7,40,4,9,181,0.127,-0.007,12.7,-19.2,-0.104,0,6.0,86.1,3,1,1,0,0,Active,0
CMP-01031,Connectors,Intel,CSP,4.1,65,6,7,34,,-0.169,17.1,-9.0,0.082,0,36.0,68.9,12,2,1,0,0,Active,0
CMP-01032,Capacitors,Vishay,SOIC,4.1,10,1,4,6312,0.283,-0.195,15.6,-19.2,-0.033,0,16.0,94.2,7,1,1,1,0,Mature,0
CMP-01033,Semiconductors,Broadcom,SOT-23,2.1,250,5,4,1227,0.214,0.221,11.1,23.4,-0.013,1,10.0,81.4,2,0,0,1,0,Active,0
CMP-01034,Semiconductors,Microchip,CSP,0.5,65,6,9,144,-0.005,-0.149,14.8,-16.8,0.055,0,41.0,66.1,5,6,1,1,0,Active,0
CMP-01035,Inductors,Renesas,SMD-0402,6.8,10,4,6,8527,0.04,0.198,7.2,11.3,0.061,1,4.0,72.2,1,2,1,0,0,Active,0
CMP-01036,Capacitors,ON Semi,DIP,1.9,65,5,3,484,0.005,0.071,12.2,16.5,-0.063,1,14.0,70.1,6,1,0,1,0,Active,0
CMP-01037,Diodes,Broadcom,SOIC,1.9,40,2,6,263,-0.146,-0.12,12.4,-20.0,-0.037,1,48.0,31.0,22,4,1,0,0,Active,0
CMP-01038,Semiconductors,Microchip,SMD-0805,1.1,10,5,5,12465,0.053,-0.097,3.4,0.5,0.003,0,12.0,75.3,0,3,0,0,0,Active,0
CMP-01039,Capacitors,ON Semi,SMD-0402,1.7,180,4,6,192,-0.061,-0.13,11.3,-9.4,0.162,4,6.0,69.8,1,3,1,0,0,Active,0
CMP-01040,Connectors,NXP,QFN,0.5,7,2,1,908,-0.065,-0.005,6.9,-2.3,0.141,1,60.0,82.8,10,3,1,1,0,Mature,0
CMP-01041,Diodes,ON Semi,SOT-23,9.0,65,1,7,601,-0.171,0.214,3.2,-12.0,-0.095,0,13.0,100.0,4,4,1,1,0,Declining,0
CMP-01042,Capacitors,ROHM,SMD-0603,4.1,250,6,6,681,-0.038,0.051,11.8,29.8,0.166,0,10.0,70.3,16,3,1,0,0,Active,0
CMP-01043,Inductors,STMicro,SMD-0805,6.6,22,5,7,277,-0.166,-0.233,5.5,-20.0,-0.054,0,7.0,72.6,2,3,1,0,0,Active,0
CMP-01044,Transistors,Microchip,SMD-0603,8.1,28,8,6,7309,0.254,0.24,9.9,1.1,0.053,1,7.0,64.7,27,0,1,1,0,Declining,0
CMP-01045,Connectors,Infineon,SMD-0603,28.7,7,4,2,795,-0.017,0.416,12.7,13.1,-0.12,0,3.0,50.2,3,2,0,1,0,Last Buy,0
CMP-01046,Capacitors,STMicro,TO-220,0.6,10,5,7,496,0.1,-0.222,15.5,31.6,0.04,0,27.0,88.6,6,2,1,1,0,Active,0
CMP-01047,Semiconductors,NXP,TSSOP,4.3,10,5,6,968,-0.228,-0.364,31.9,-5.4,0.045,0,9.0,71.5,21,2,1,1,0,Active,0
CMP-01048,Transistors,Analog Devices,TSSOP,2.3,130,0,4,284,-0.016,-0.013,2.3,20.5,0.067,1,15.0,100.0,8,1,1,1,0,Active,0
CMP-01049,Semiconductors,Murata,QFP,5.2,130,3,4,3757,-0.269,-0.016,11.3,10.0,-0.096,1,20.0,67.7,5,3,1,0,0,Active,0
CMP-01050,Transistors,STMicro,SMD-0805,20.3,90,4,4,649,0.207,0.121,26.4,33.5,-0.024,0,13.0,32.7,27,6,1,1,0,Last Buy,0
CMP-01051,Connectors,ROHM,DIP,10.3,28,5,3,9690,-0.008,0.006,8.9,3.2,-0.164,0,7.0,75.1,5,4,1,0,0,Mature,0
CMP-01052,ICs,ON Semi,QFP,8.7,130,3,2,71805,0.091,-0.13,14.0,15.6,0.138,1,27.0,52.8,15,1,1,0,1,Declining,0
CMP-01053,Diodes,ROHM,SMD-0805,4.7,65,4,3,198,-0.092,-0.191,9.2,15.9,0.058,0,14.0,78.5,23,3,1,0,0,Active,0
CMP-01054,ICs,Samsung,SMD-0603,8.9,28,6,7,16,0.071,-0.024,6.5,10.3,0.15,0,3.0,64.2,2,6,1,1,0,Declining,0
CMP-01055,Resistors,TDK,QFP,0.5,40,7,5,792,0.265,0.179,37.6,-10.8,0.037,1,5.0,67.4,3,3,1,1,0,Active,0
CMP-01056,Diodes,Broadcom,SMD-0805,7.1,10,3,4,216,0.058,-0.127,12.7,-11.0,-0.037,0,4.0,67.4,4,2,1,0,0,Declining,0
CMP-01057,Resistors,Infineon,DIP,6.5,180,2,4,184,-0.044,0.091,17.6,-3.7,0.079,0,12.0,71.1,10,4,1,0,0,Mature,0
CMP-01058,Resistors,Broadcom,CSP,3.4,65,0,5,312,-0.058,-0.13,28.7,11.1,-0.091,0,2.0,70.1,1,5,1,1,0,Active,0
CMP-01059,Inductors,ON Semi,SMD-0402,1.8,90,6,3,2109,-0.253,-0.158,16.7,-1.0,-0.038,1,18.0,66.1,11,4,1,0,0,Active,0
CMP-01060,Transistors,Samsung,CSP,13.2,90,8,2,18,0.0,0.164,22.9,-14.4,0.003,0,36.0,55.5,3,1,0,0,0,Declining,0
CMP-01061,ICs,NXP,SOIC,0.5,65,5,7,8784,0.021,0.223,15.3,8.7,0.108,2,20.0,79.9,4,0,0,1,0,Active,0
CMP-01062,Diodes,Intel,CSP,0.6,7,6,5,15782,0.106,0.02,18.6,2.4,-0.028,1,6.0,48.4,5,4,1,1,0,Active,0
CMP-01063,Resistors,Renesas,CSP,4.6,65,2,4,178,0.096,-0.217,8.1,-17.7,-0.202,3,12.0,99.3,2,3,1,0,0,Active,0
CMP-01064,Resistors,Samsung,SOT-23,2.3,130,4,2,213,-0.052,-0.147,13.6,1.0,0.016,1,6.0,70.3,5,0,1,1,0,Active,0
CMP-01065,Diodes,Vishay,CSP,10.9,10,3,4,1110,0.119,-0.312,9.4,-1.8,0.126,0,7.0,87.2,3,5,1,0,0,Last Buy,0
CMP-01066,Capacitors,Broadcom,SMD-0805,8.0,250,4,7,662,0.219,0.08,12.8,14.3,0.063,1,24.0,74.9,11,1,1,0,0,Mature,0
CMP-01067,Semiconductors,Intel,DIP,11.8,40,3,5,1014,0.251,-0.061,3.5,-20.0,0.058,1,16.0,36.9,5,4,1,0,0,Declining,0
CMP-01068,Resistors,Microchip,SOIC,3.1,28,1,6,1067,-0.074,-0.021,12.1,6.2,-0.011,1,4.0,61.5,41,1,0,0,0,Mature,0
CMP-01069,Capacitors,Texas Instruments,QFP,10.8,65,3,7,261,0.011,0.115,14.0,8.1,0.012,1,24.0,48.6,5,6,1,0,0,Mature,0
CMP-01070,Capacitors,Infineon,SMD-0805,15.9,130,6,6,879,0.119,-0.193,8.6,-13.3,-0.009,0,60.0,97.4,2,3,1,0,1,Declining,0
CMP-01071,Capacitors,ON Semi,SMD-0805,3.4,40,1,8,215,-0.174,0.117,16.7,20.6,0.012,0,27.0,73.5,4,4,1,1,0,Mature,0
CMP-01072,Semiconductors,Microchip,QFN,3.3,65,3,8,3154,0.014,0.229,9.9,10.3,0.085,0,11.0,78.1,15,4,1,1,0,Declining,0
CMP-01073,Semiconductors,Microchip,SMD-0805,18.4,40,9,8,371,-0.061,-0.275,15.1,-4.4,0.022,0,5.0,60.2,22,4,1,1,0,Declining,0
CMP-01074,ICs,Texas Instruments,SOT-23,0.5,65,3,5,71,0.108,0.107,30.0,-0.1,-0.007,0,6.0,68.1,9,5,1,0,0,Active,0
CMP-01075,Resistors,STMicro,TSSOP,3.4,14,2,4,55,-0.062,0.034,7.2,-2.3,0.109,0,1.0,98.9,29,2,1,1,0,Declining,0
CMP-01076,Resistors,NXP,QFN,1.0,10,5,5,1147,-0.023,0.108,7.3,3.5,0.101,1,7.0,45.8,7,4,1,0,0,Active,0
CMP-01077,Inductors,ROHM,SOIC,0.5,14,5,5,953,-0.11,0.075,23.2,24.9,0.11,1,19.0,100.0,22,2,1,0,0,Active,0
CMP-01078,Capacitors,Infineon,QFP,1.0,28,6,6,247,-0.375,-0.131,7.6,-19.5,0.19,1,24.0,67.0,12,2,1,0,0,Active,0
CMP-01079,ICs,Renesas,TSSOP,4.5,28,2,6,6139,-0.097,0.138,13.6,0.4,0.085,1,14.0,35.7,0,4,1,0,0,Active,0
CMP-01080,Diodes,Murata,QFP,9.3,65,5,3,24327,0.176,-0.126,10.3,-10.1,-0.008,1,39.0,57.9,5,3,1,0,0,Declining,0
CMP-01081,Semiconductors,Microchip,BGA,2.7,40,1,6,12891,-0.239,0.094,2.7,10.0,0.072,1,3.0,60.9,2,3,1,1,0,Active,0
CMP-01082,Resistors,Intel,BGA,15.2,10,5,6,19794,0.037,0.265,11.2,7.4,-0.033,0,14.0,61.5,4,4,1,0,0,Declining,0
CMP-01083,Transistors,Microchip,SOIC,4.6,10,4,4,7271,0.014,-0.248,7.1,26.4,-0.076,1,2.0,68.8,38,5,1,0,0,Active,0
CMP-01084,ICs,ROHM,TO-220,27.6,14,4,2,4342,-0.098,-0.165,13.6,4.7,-0.018,2,5.0,65.3,5,1,1,1,0,EOL Announced,1
CMP-01085,Resistors,Murata,DIP,24.7,28,3,7,5013,0.134,-0.181,19.8,23.3,0.261,0,46.0,54.2,8,2,1,0,0,EOL Announced,1
CMP-01086,Connectors,Microchip,TO-220,11.9,7,3,3,4211,-0.039,0.038,6.9,14.1,-0.041,1,55.0,76.7,1,9,1,0,1,Declining,0
CMP-01087,Semiconductors,Texas Instruments,DIP,21.6,40,3,5,1376,-0.03,0.121,8.6,3.2,0.212,0,3.0,98.1,3,3,1,0,0,Declining,0
