supplier_id,country,component_category,years_in_business,num_manufacturing_sites,annual_revenue_millions,num_employees,on_time_delivery_rate,defect_rate_ppm,lead_time_days,lead_time_variability,financial_health_score,debt_to_equity_ratio,num_certifications,has_iso9001,has_iso14001,has_iatf16949,num_customers,single_source_pct,sub_tier_visibility,recent_disruption_events,news_sentiment_score,compliance_violations,geographic_risk_index,risk_label
SUP-0520,USA,Memory,3,5,199.1,62,0.766,75.0,9,0.401,73.4,0.54,4,1,0,1,8,0.419,1,0,0.825,1,0.112,Medium
SUP-0521,South Korea,Memory,7,3,4.3,74,0.939,645.0,10,0.008,63.7,0.39,1,0,0,0,55,0.246,2,2,0.432,1,0.355,Medium
SUP-0522,France,Semiconductors,3,3,186.9,364,0.906,361.0,15,0.135,100.0,0.29,0,1,1,1,6,0.321,1,0,0.673,0,0.076,Low
SUP-0523,Mexico,Connectors,1,2,186.0,6032,0.95,59.0,9,0.125,66.3,2.36,1,1,1,1,35,0.375,1,0,0.598,0,0.408,Medium
SUP-0524,Mexico,Passive Components,2,2,228.4,316,0.906,527.0,6,0.074,85.7,0.57,2,1,1,0,14,0.413,3,0,0.587,0,0.31,Low
SUP-0525,Japan,PCB,1,1,339.6,323,0.89,470.0,10,0.15,80.7,0.66,2,0,1,0,7,0.146,1,0,0.866,0,0.18,Low
SUP-0526,South Korea,Displays,43,3,1484.8,71,0.882,362.0,29,0.442,39.1,2.38,3,1,1,1,80,0.367,3,1,0.552,1,0.354,High
SUP-0527,Taiwan,Sensors,17,1,32.0,1255,0.683,1305.0,9,0.028,61.6,0.85,3,1,0,1,11,0.422,1,0,0.485,0,0.777,Medium
SUP-0528,China,Power Management,41,2,64.4,1266,0.984,368.0,16,0.019,100.0,2.53,4,0,0,1,8,0.155,1,0,0.437,0,0.606,Medium
SUP-0529,Malaysia,Displays,6,1,29.2,1039,0.572,2329.0,64,0.005,54.9,0.09,3,1,1,0,18,0.254,0,0,0.565,0,0.287,Medium
SUP-0530,Thailand,Connectors,3,2,54.8,189,0.709,356.0,19,0.068,51.5,1.5,2,1,0,0,12,0.221,1,0,0.453,1,0.331,Medium
SUP-0531,Brazil,Sensors,19,1,544.2,172,0.867,62.0,24,0.062,68.4,0.33,2,1,0,1,184,0.507,1,1,0.427,0,0.396,Medium
SUP-0532,Brazil,PCB,4,3,7.3,85,0.893,318.0,11,0.085,55.6,1.33,3,0,1,0,57,0.625,0,1,,0,0.44,Medium
SUP-0533,Germany,Semiconductors,4,4,15.0,446,0.793,101.0,73,0.105,49.1,1.55,3,1,0,1,11,0.035,1,1,0.434,1,0.135,Medium
SUP-0534,India,Displays,3,1,430.9,110,0.74,455.0,14,0.213,55.3,0.25,7,0,1,0,12,0.092,0,0,0.448,0,0.449,Medium
SUP-0535,UK,Connectors,1,1,252.2,98,0.737,591.0,17,0.075,93.6,0.42,2,1,1,0,2,0.28,3,0,0.68,0,0.119,Low
SUP-0536,Mexico,PCB,3,1,31.7,242,0.881,316.0,44,0.06,62.3,1.04,2,1,0,0,23,0.25,1,0,0.208,2,0.434,Medium
SUP-0537,China,Memory,5,5,196.7,224,0.943,51.0,18,0.263,38.4,0.08,4,1,1,0,9,0.436,2,1,0.46,0,0.634,Medium
SUP-0538,Japan,Memory,13,2,91.1,211,0.82,316.0,20,0.284,34.8,1.13,2,0,1,1,21,0.711,3,2,0.58,0,0.138,High
SUP-0539,China,PCB,1,2,518.2,706,0.76,42.0,16,0.04,100.0,0.09,5,1,1,0,2,0.686,0,2,0.83,0,0.6,Medium
SUP-0540,UK,PCB,2,1,61.1,443,0.917,573.0,17,0.057,60.5,1.97,3,1,1,1,19,0.153,1,1,0.551,1,0.134,Medium
SUP-0541,USA,PCB,19,3,254.3,285,0.856,781.0,25,0.262,73.7,0.26,4,1,1,1,109,0.325,0,0,0.569,0,0.13,Low
SUP-0542,China,Sensors,1,5,2872.7,502,0.78,1640.0,27,0.012,49.6,0.69,2,1,0,0,21,0.382,0,0,0.582,0,0.713,Medium
SUP-0543,Vietnam,PCB,5,5,133.9,122,0.922,81.0,13,0.059,71.4,0.1,4,0,0,1,9,0.447,0,1,0.235,0,0.583,Medium
SUP-0544,USA,Displays,23,3,58.8,457,0.963,380.0,12,0.089,94.2,0.25,2,1,1,1,19,0.15,1,1,0.732,0,0.049,Low
SUP-0545,South Korea,Connectors,2,1,161.4,483,0.894,419.0,13,0.031,52.0,0.41,3,1,0,1,18,0.325,1,1,0.723,0,0.267,Medium
SUP-0546,China,Sensors,1,1,31.6,66,0.902,1279.0,8,0.03,74.2,0.53,3,1,1,1,179,0.093,0,1,0.763,0,0.664,Medium
SUP-0547,Vietnam,PCB,7,1,1962.5,1332,0.7,493.0,7,0.083,36.9,0.0,3,0,1,0,14,0.432,1,0,1.0,0,0.461,Medium
SUP-0548,Germany,Passive Components,4,1,71.5,140,0.797,79.0,24,0.211,100.0,1.76,7,1,1,0,6,0.286,1,2,,0,0.108,Medium
SUP-0549,Thailand,Power Management,9,1,36.3,449,0.716,287.0,35,0.275,70.4,0.01,2,1,0,0,20,0.355,1,1,0.302,1,0.481,Medium
SUP-0550,Germany,Passive Components,19,1,15.6,1631,0.984,532.0,33,0.581,56.7,1.19,6,1,1,0,24,0.248,2,1,0.741,1,0.116,Medium
SUP-0551,Mexico,Connectors,1,2,283.1,1225,0.805,602.0,4,0.012,59.0,0.51,0,1,0,0,35,0.16,2,1,0.533,0,0.399,Medium
SUP-0552,Germany,Memory,10,6,200.5,420,0.916,994.0,17,0.037,54.8,0.59,3,0,1,1,42,0.276,1,0,0.403,1,0.111,Medium
SUP-0553,Germany,Semiconductors,8,3,25.9,261,0.951,100.0,10,0.212,55.8,0.19,4,1,1,0,141,0.292,2,0,0.543,1,0.096,Low
SUP-0554,Malaysia,Semiconductors,1,5,129.6,1257,0.832,1514.0,21,0.117,16.1,0.75,2,1,1,0,11,0.377,1,2,0.476,0,0.208,Medium
SUP-0555,South Korea,Power Management,11,4,5.7,906,0.715,30.0,15,0.06,63.0,0.62,2,1,0,0,10,0.311,2,0,0.945,1,0.313,Medium
SUP-0556,China,Memory,3,1,72.1,192,0.893,2060.0,28,0.035,62.2,0.14,3,1,1,0,3,0.118,0,0,1.0,0,0.573,Low
SUP-0557,China,Sensors,8,4,107.7,155,0.864,975.0,19,0.049,74.8,0.22,4,1,1,1,38,0.062,1,1,0.273,0,0.667,Medium
SUP-0558,India,Sensors,1,1,707.0,33,0.663,540.0,6,0.084,54.5,0.06,4,1,0,1,8,0.492,2,1,0.305,1,0.324,Medium
SUP-0559,USA,Sensors,7,3,17.2,485,0.913,664.0,11,0.029,49.6,0.05,0,0,1,0,48,0.387,3,0,0.448,0,0.075,Low
SUP-0560,Vietnam,Semiconductors,4,2,8.0,365,0.947,38.0,20,0.5,64.8,0.01,0,1,1,0,12,0.149,2,2,0.462,0,0.569,Medium
SUP-0561,China,Passive Components,20,8,14.3,1577,0.79,21.0,21,0.017,32.8,0.2,4,0,1,0,112,0.244,0,0,0.445,0,0.698,Medium
SUP-0562,China,Semiconductors,1,1,7.4,620,0.5,54.0,8,0.636,67.9,0.91,5,1,0,1,4,0.272,0,1,0.561,1,0.658,High
SUP-0563,China,Displays,6,1,405.4,2000,0.855,46.0,7,0.277,,0.3,4,0,1,1,55,0.386,1,1,,1,0.633,Medium
SUP-0564,South Korea,PCB,7,6,557.2,174,0.74,396.0,20,0.083,87.4,0.34,4,1,1,0,49,0.295,2,1,0.329,0,0.214,Medium
SUP-0565,USA,Sensors,15,1,88.3,1580,0.5,121.0,8,0.202,78.7,0.11,6,1,1,1,34,0.488,0,0,0.395,0,0.047,Low
SUP-0566,South Korea,Passive Components,10,3,341.0,213,0.661,984.0,7,0.167,46.5,0.69,2,1,1,1,6,0.158,2,1,0.909,0,0.346,Medium
SUP-0567,Japan,Connectors,13,4,66.7,1025,0.714,295.0,15,0.036,78.2,,3,1,0,0,34,0.056,2,0,0.529,0,0.086,Low
SUP-0568,Philippines,Power Management,18,5,47.3,70,0.769,595.0,14,0.062,67.2,0.9,2,0,0,1,22,0.361,2,0,0.518,0,0.438,Medium
SUP-0569,Taiwan,Connectors,23,7,33.1,534,0.831,529.0,11,0.108,44.8,1.08,1,1,0,0,3,0.16,2,1,0.296,0,0.684,Medium
SUP-0570,Germany,PCB,4,7,34.3,37,0.907,193.0,13,0.152,24.5,0.7,7,1,0,1,95,0.102,2,0,0.507,0,0.121,Low
SUP-0571,Thailand,Passive Components,9,1,5.4,292,0.909,139.0,20,0.117,71.3,0.26,3,1,1,0,14,0.286,1,0,0.792,1,0.434,Low
SUP-0572,South Korea,Semiconductors,21,5,81.2,684,0.814,210.0,13,0.096,49.1,0.57,2,0,0,0,88,0.162,2,1,0.719,0,0.173,Medium
SUP-0573,USA,Semiconductors,50,3,51.4,215,0.71,796.0,20,0.088,86.9,0.23,5,1,1,1,18,0.23,3,0,0.762,0,0.114,Low
SUP-0574,Malaysia,Displays,26,3,167.0,114,0.88,441.0,15,0.103,65.3,1.87,4,1,1,0,53,0.664,3,0,0.359,0,0.266,Medium
SUP-0575,UK,Displays,5,1,62.8,1113,0.704,146.0,22,0.085,51.0,1.16,5,1,0,1,8,0.475,0,0,0.356,1,0.128,Medium
SUP-0576,China,Semiconductors,2,3,42.8,356,0.822,851.0,34,0.117,100.0,0.54,2,1,0,0,24,0.27,2,0,0.827,0,0.511,Low
SUP-0577,Philippines,Connectors,8,8,14.8,224,0.936,28.0,33,0.328,76.5,2.69,3,1,1,1,23,0.761,3,1,0.765,0,0.501,Medium
SUP-0578,Japan,Power Management,16,6,60.8,424,0.963,601.0,43,0.15,0.0,0.63,0,0,0,0,14,0.139,2,0,0.548,0,0.114,Medium
SUP-0579,Taiwan,Sensors,8,2,165.2,9547,0.951,289.0,33,0.192,55.3,0.32,7,1,0,1,8,0.155,0,0,0.771,0,0.681,Low
SUP-0580,Japan,Connectors,7,1,9.8,1610,0.657,657.0,23,0.137,37.3,0.08,7,1,1,0,1,0.311,3,0,0.359,0,0.232,Low
SUP-0581,Brazil,Power Management,21,2,62.3,1627,0.799,1312.0,15,0.155,49.0,0.63,2,0,1,0,8,0.11,1,1,0.351,0,0.393,Medium
SUP-0582,Japan,Displays,5,5,77.4,680,0.974,693.0,15,0.13,62.1,1.58,2,1,1,1,40,0.439,0,0,0.277,1,0.199,Medium
SUP-0583,Taiwan,PCB,23,4,18.6,492,0.81,292.0,11,0.004,72.1,1.61,3,1,1,1,4,0.283,1,1,0.672,0,0.699,Medium
SUP-0584,USA,Power Management,6,2,22.6,22,0.845,82.0,20,0.8,70.2,0.74,4,1,1,0,6,0.099,0,1,0.643,0,0.183,Medium
SUP-0585,China,Semiconductors,4,1,77.2,178,0.953,821.0,30,0.005,86.6,0.4,2,1,0,0,4,0.292,0,0,0.496,0,0.617,Low
SUP-0586,China,Displays,7,2,10.0,226,0.905,309.0,12,0.075,77.7,0.84,5,0,1,0,24,0.029,1,1,0.444,0,0.626,Medium
SUP-0587,China,Displays,17,2,92.3,42,0.56,39.0,19,0.017,76.5,1.15,1,0,1,0,8,0.084,2,1,1.0,0,0.609,Medium
SUP-0588,China,Sensors,1,6,14.3,100,0.75,635.0,13,0.015,69.0,0.42,0,1,1,1,68,0.352,3,1,0.548,1,0.585,Medium
SUP-0589,China,Semiconductors,2,3,268.9,37,0.975,173.0,22,0.237,90.7,0.52,4,1,1,0,41,0.231,2,0,0.878,0,0.644,Low
SUP-0590,China,Sensors,36,2,1820.3,385,0.877,25.0,14,0.083,58.7,0.91,1,1,1,1,24,0.368,3,1,0.571,0,0.563,Medium
SUP-0591,USA,Semiconductors,2,2,15.0,1077,0.594,1165.0,12,0.242,,1.67,1,0,1,0,27,0.206,1,2,0.5,1,0.136,High
SUP-0592,China,Sensors,10,1,121.7,1522,0.837,330.0,13,0.048,26.9,1.25,2,1,0,0,9,0.37,1,0,0.883,2,0.648,Medium
SUP-0593,Taiwan,Power Management,10,7,18.4,663,0.718,165.0,27,0.044,86.1,0.02,1,1,0,0,9,0.505,2,0,0.758,1,0.727,Medium
SUP-0594,Malaysia,Connectors,8,2,260.2,126,0.859,630.0,18,0.043,63.5,0.11,1,0,0,1,40,0.48,2,0,0.595,0,0.253,Low
SUP-0595,Japan,PCB,12,2,8.2,39,0.91,1085.0,15,0.144,100.0,1.53,1,1,0,0,50,0.215,2,1,0.827,0,0.172,Low
SUP-0596,Vietnam,PCB,3,2,112.3,48,0.739,0.0,23,0.253,56.9,1.44,3,1,1,0,40,0.157,1,3,1.0,1,0.552,High
SUP-0597,China,Semiconductors,9,3,14.7,87,0.939,582.0,15,0.09,66.8,0.39,4,0,0,0,12,0.079,1,0,0.454,0,0.537,Medium
SUP-0598,China,Passive Components,5,3,40.0,138,0.965,728.0,39,0.072,75.9,0.7,3,1,1,1,13,0.192,1,0,0.694,2,0.524,Medium
SUP-0599,China,Memory,13,4,11.6,333,0.776,118.0,11,0.545,43.0,1.89,2,1,1,0,7,0.244,0,1,0.518,0,0.642,Medium
SUP-0600,China,Displays,1,1,187.5,119,0.784,336.0,17,0.019,72.2,1.94,3,1,0,1,43,0.346,3,0,0.413,1,0.568,Medium
SUP-0601,Taiwan,Displays,10,2,15.6,605,0.754,47.0,8,0.1,65.7,1.22,2,0,0,1,2,0.051,2,1,0.408,0,0.737,Medium
SUP-0602,China,Semiconductors,2,1,125.0,305,0.843,687.0,16,0.079,58.9,0.19,3,1,0,0,2,0.344,2,1,0.918,0,0.686,Medium
SUP-0603,China,Power Management,3,3,32.6,408,0.841,940.0,7,0.015,88.5,1.05,2,0,1,0,2,0.204,0,1,0.235,0,0.526,Medium
SUP-0604,China,Sensors,2,1,46.0,1584,0.901,57.0,31,0.047,46.9,0.09,4,1,1,0,2,0.063,2,1,0.702,0,0.522,Medium
SUP-0605,Japan,Passive Components,2,3,68.1,97,0.725,848.0,31,0.004,70.5,1.79,2,1,0,1,78,0.246,3,2,0.435,0,0.19,Medium
SUP-0606,China,Connectors,20,5,17.4,666,0.834,738.0,32,0.314,94.1,0.13,4,1,0,0,44,0.296,1,2,0.954,1,0.666,Medium
SUP-0607,South Korea,Sensors,4,5,74.9,396,0.612,213.0,20,0.14,50.9,0.87,1,1,0,0,6,0.353,1,0,0.545,0,0.386,Medium
SUP-0608,Japan,Sensors,31,2,542.1,270,0.807,586.0,11,0.253,59.1,0.75,2,0,0,0,18,0.234,1,1,0.527,0,0.19,Medium
SUP-0609,Vietnam,Semiconductors,42,2,17.0,1167,0.571,0.0,12,0.111,100.0,1.2,4,1,1,1,86,0.567,1,1,,0,0.493,Medium
SUP-0610,China,Semiconductors,10,1,316.6,1158,0.704,1343.0,50,0.137,74.5,0.64,4,1,1,1,33,0.161,2,1,0.775,0,0.605,Medium
SUP-0611,Thailand,Power Management,1,3,516.5,129,0.77,400.0,47,0.181,54.9,0.05,2,1,1,1,166,0.414,1,0,0.711,0,0.417,Low
SUP-0612,USA,Displays,5,5,16.1,324,0.911,484.0,21,0.358,81.1,0.98,7,1,1,0,17,0.253,2,1,0.761,0,0.184,Medium
SUP-0613,China,Semiconductors,19,1,6.2,565,0.658,546.0,14,0.014,53.6,0.39,2,1,0,0,10,0.55,1,0,0.383,0,0.615,Medium
SUP-0614,Malaysia,Semiconductors,5,2,85.9,290,0.834,412.0,45,0.06,33.7,0.31,1,1,1,0,6,0.153,0,1,0.748,0,0.266,Medium
SUP-0615,Philippines,Semiconductors,1,5,24.0,814,0.962,972.0,13,0.185,92.4,3.83,0,1,1,1,20,0.306,3,0,0.56,0,0.461,Medium
SUP-0616,China,Power Management,9,5,900.5,565,0.889,470.0,23,0.477,42.9,0.71,3,1,0,1,51,0.253,1,0,0.672,0,0.522,Medium
SUP-0617,Taiwan,Displays,22,1,57.5,3637,0.816,1192.0,45,0.593,100.0,0.99,2,1,0,1,22,0.333,2,0,0.697,1,0.672,Medium
SUP-0618,Thailand,Connectors,19,3,16.4,64,0.852,437.0,12,0.152,55.2,0.6,2,0,1,0,14,0.291,0,2,,0,0.385,Medium
SUP-0619,India,Connectors,2,1,9.8,348,0.883,94.0,33,0.032,100.0,1.18,4,1,0,0,70,0.193,3,0,0.719,0,0.431,Low
SUP-0620,China,Memory,13,1,280.0,135,0.725,1224.0,27,0.019,37.6,1.12,1,0,1,0,34,0.271,3,1,0.563,1,0.521,Medium
SUP-0621,China,Memory,2,6,23.2,832,0.673,572.0,19,0.438,85.5,0.86,2,0,1,0,17,0.653,1,0,0.352,0,0.541,Medium
SUP-0622,South Korea,Semiconductors,2,5,58.3,57,0.641,601.0,11,0.085,75.0,4.87,2,0,0,0,9,0.075,0,0,0.571,1,0.299,High
SUP-0623,Japan,Memory,24,4,229.0,611,0.925,2116.0,13,0.033,81.8,0.49,3,0,0,0,15,0.224,2,0,0.604,1,0.192,Medium
SUP-0624,USA,Displays,3,1,26.4,189,0.73,39.0,23,0.407,84.4,0.98,1,1,0,0,32,0.21,1,2,0.719,0,0.079,Medium
SUP-0625,South Korea,Power Management,3,5,51.0,167,0.647,280.0,8,0.017,55.0,1.28,3,1,1,0,9,0.415,2,0,0.122,0,0.304,Medium
SUP-0626,Japan,Connectors,1,2,53.3,71,0.681,137.0,21,0.196,38.8,0.38,2,1,0,0,5,0.714,3,0,0.678,0,0.194,Low
SUP-0627,India,Sensors,24,2,152.2,230,0.962,498.0,27,0.147,64.0,0.49,6,1,1,0,12,0.505,2,0,0.498,1,0.584,Medium
SUP-0628,China,Connectors,18,2,132.4,1482,0.878,822.0,36,0.014,69.5,2.78,4,1,1,1,19,0.209,3,0,0.762,0,0.584,Medium
SUP-0629,Taiwan,Connectors,11,1,39.2,391,0.878,1695.0,8,0.062,55.6,,4,1,0,0,78,0.077,1,0,0.6,0,0.658,Low
SUP-0630,India,Displays,16,4,60.1,856,0.677,303.0,44,0.024,70.6,0.33,2,1,1,1,6,0.116,3,2,0.533,0,0.49,Medium
SUP-0631,Malaysia,Memory,1,3,31.3,2973,0.78,771.0,55,0.139,71.6,0.53,1,1,1,0,25,0.544,1,0,0.564,0,0.343,Low
SUP-0632,Germany,Sensors,7,1,6.0,553,0.533,1245.0,25,0.097,46.8,0.0,9,0,0,1,15,0.086,1,1,0.667,1,0.035,Medium
SUP-0633,Germany,Displays,5,1,80.4,206,0.745,575.0,10,0.001,,1.84,6,1,1,0,15,0.077,3,0,0.782,1,0.044,Medium
SUP-0634,China,Semiconductors,1,1,932.9,706,0.877,139.0,16,0.558,,0.27,3,1,1,0,93,0.081,2,0,0.422,0,0.532,Medium
SUP-0635,Japan,Power Management,7,1,14.5,209,0.796,468.0,19,0.065,51.0,0.24,4,0,0,1,21,0.26,2,0,0.531,0,0.114,Low
SUP-0636,Germany,PCB,30,3,17.1,220,0.793,1752.0,23,0.045,80.7,1.37,3,1,0,1,8,0.353,3,0,0.894,0,0.143,Low
SUP-0637,China,Connectors,1,5,14.8,65,0.813,2193.0,20,0.038,49.5,0.26,4,1,0,0,48,0.098,2,1,0.528,0,0.618,Medium
SUP-0638,Taiwan,PCB,4,1,161.9,1225,0.728,514.0,23,0.026,55.9,0.86,5,0,0,0,45,0.302,0,0,0.673,0,0.708,Medium
SUP-0639,South Korea,Power Management,2,1,107.0,253,0.808,1090.0,19,0.8,66.4,1.38,2,1,0,1,7,0.361,2,0,0.353,1,0.251,Medium
SUP-0640,China,Power Management,3,3,43.0,501,0.829,112.0,23,0.052,,1.26,2,1,1,0,6,0.171,0,0,0.257,0,0.547,Medium
SUP-0641,Taiwan,Displays,28,4,13.8,116,0.71,141.0,15,0.078,,1.22,4,0,0,0,30,0.154,1,0,0.392,0,0.704,Medium
SUP-0642,China,Displays,7,2,62.7,680,0.952,1528.0,16,0.308,75.6,0.07,1,1,0,1,19,0.461,2,1,0.462,0,0.598,Medium
SUP-0643,Taiwan,Displays,7,2,5.2,161,0.782,73.0,14,0.154,59.0,,7,1,0,1,12,0.58,3,2,0.808,0,0.724,Medium
SUP-0644,China,PCB,17,3,67.7,340,0.951,106.0,63,0.069,63.4,0.29,2,1,1,0,57,0.151,2,0,0.83,0,0.669,Low
SUP-0645,Malaysia,Displays,2,1,201.8,1156,0.859,273.0,48,0.343,64.0,0.03,5,1,0,1,11,0.271,1,0,0.215,2,0.243,Medium
SUP-0646,USA,Power Management,8,1,8.4,1042,0.927,445.0,28,0.208,70.9,0.56,5,1,0,0,30,0.198,3,0,0.492,0,0.093,Low
SUP-0647,Vietnam,Semiconductors,6,4,5.5,392,0.5,463.0,44,0.039,59.1,0.4,5,0,1,0,65,0.447,3,0,0.74,0,0.506,Medium
SUP-0648,Thailand,Displays,10,3,583.6,48,0.69,173.0,32,0.155,91.8,0.65,1,1,1,1,14,0.12,1,0,0.579,0,0.41,Low
SUP-0649,Japan,Passive Components,50,3,21.8,14637,0.869,1267.0,22,0.383,57.5,,5,1,1,0,3,0.278,0,2,0.901,0,0.154,Medium
SUP-0650,China,Memory,17,4,300.0,3278,0.853,1233.0,8,0.103,30.9,0.53,5,1,0,0,13,0.105,0,1,0.735,1,0.598,Medium
SUP-0651,Germany,PCB,6,3,43.3,960,0.978,249.0,17,0.198,100.0,0.33,2,1,0,1,24,0.292,1,0,0.546,0,0.109,Low
SUP-0652,USA,Passive Components,21,1,42.8,163,0.815,285.0,16,0.532,58.5,0.17,4,1,0,0,54,0.371,0,0,0.564,2,0.126,Medium
SUP-0653,India,Displays,2,2,105.4,352,0.737,606.0,10,0.176,91.3,0.84,5,1,1,1,11,0.143,1,0,0.589,0,0.415,Low
SUP-0654,Japan,Power Management,1,1,14.5,210,0.683,544.0,8,0.016,93.1,0.9,6,1,0,0,112,0.082,2,0,0.431,0,0.173,Low
SUP-0655,China,Semiconductors,2,1,66.6,1838,0.674,241.0,26,0.042,83.9,1.41,3,0,0,0,5,0.241,2,0,0.788,2,0.626,Medium
SUP-0656,Taiwan,Connectors,4,3,30.8,552,0.88,267.0,24,0.136,61.0,1.66,3,1,1,1,23,0.252,3,0,0.748,0,0.712,Medium
SUP-0657,South Korea,Sensors,8,5,7.5,157,0.879,214.0,9,0.048,70.7,0.98,4,1,0,1,15,0.292,1,0,0.691,0,0.379,Low
SUP-0658,USA,Memory,11,7,90.6,229,0.733,134.0,12,0.474,39.5,0.93,1,0,1,1,77,0.023,0,0,0.649,0,0.111,Medium
SUP-0659,Germany,Sensors,28,3,36.8,1549,0.78,306.0,40,0.078,100.0,0.05,2,1,0,1,4,0.276,1,0,0.396,0,0.118,Low
SUP-0660,South Korea,Displays,8,1,43.1,2752,0.916,580.0,11,0.092,48.0,0.09,10,1,1,0,30,0.125,3,0,0.701,1,0.251,Low
SUP-0661,Brazil,Memory,8,1,8.9,2525,0.993,677.0,22,0.181,59.9,1.34,5,0,1,0,15,0.337,0,0,0.626,0,0.452,Medium
SUP-0662,USA,Memory,1,4,594.1,1000,0.852,755.0,17,0.111,67.0,0.21,3,0,1,0,92,0.373,1,0,1.0,0,0.196,Low
SUP-0663,China,Semiconductors,1,3,203.4,297,0.688,235.0,27,0.072,62.9,0.35,3,1,1,0,8,0.65,2,1,0.341,1,0.608,Medium
SUP-0664,China,Memory,9,3,231.9,10,0.902,723.0,12,0.012,51.9,0.13,2,1,0,0,30,0.033,1,0,0.455,0,0.497,Low
SUP-0665,China,PCB,6,4,34.5,576,0.825,3.0,21,0.136,92.9,0.17,3,0,1,0,8,0.163,2,1,0.283,0,0.654,Medium
SUP-0666,China,Passive Components,21,4,4.1,402,0.879,324.0,22,0.303,84.0,1.19,2,1,0,1,24,0.308,1,0,0.556,0,0.668,Medium
SUP-0667,China,Passive Components,2,5,1021.9,477,0.862,790.0,23,0.174,71.4,0.24,5,1,1,0,13,0.355,2,0,0.252,0,0.611,Medium
SUP-0668,China,Passive Components,1,1,49.8,430,0.904,497.0,21,0.072,57.0,0.48,2,1,0,1,13,0.182,2,0,0.837,0,0.574,Low
SUP-0669,Taiwan,PCB,7,4,17.8,82,0.5,321.0,24,0.02,86.3,0.13,5,1,0,0,2,0.327,0,1,0.818,0,0.764,Medium
SUP-0670,China,Sensors,3,5,102.0,787,0.858,517.0,74,0.254,55.7,0.91,3,1,1,0,30,0.171,1,0,0.568,0,0.66,Medium
SUP-0671,Malaysia,Semiconductors,1,1,314.4,861,0.804,1187.0,93,0.426,96.4,1.04,2,1,0,1,6,0.135,1,0,0.397,0,0.313,Low
SUP-0672,China,Memory,15,3,52.7,914,0.707,418.0,13,0.074,67.2,0.36,4,1,1,1,6,0.149,3,0,0.295,0,0.657,Low
SUP-0673,Germany,PCB,1,2,371.6,1256,0.69,804.0,4,0.196,89.6,1.23,3,0,1,0,4,0.263,2,1,0.459,0,0.064,Medium
SUP-0674,South Korea,Passive Components,11,7,277.1,832,0.704,1975.0,28,0.079,62.7,0.22,4,0,0,0,6,0.22,2,0,0.725,0,0.365,Low
SUP-0675,Brazil,Displays,3,1,10.9,246,0.673,611.0,22,0.105,66.4,0.94,3,1,1,0,33,0.31,1,0,0.443,0,0.414,Medium
SUP-0676,China,Connectors,2,3,19.9,370,0.698,426.0,37,0.272,89.5,1.05,2,1,0,1,31,0.54,2,0,,1,0.585,Medium
SUP-0677,South Korea,Memory,5,1,229.6,450,0.984,19.0,23,0.013,100.0,,5,0,1,1,39,0.679,0,0,0.898,1,0.306,Low
SUP-0678,France,PCB,19,4,1.0,459,0.5,235.0,20,0.113,96.2,0.21,2,1,1,0,7,0.28,0,1,0.6,1,0.14,Medium
SUP-0679,Malaysia,Power Management,5,1,43.6,1336,0.895,417.0,39,0.036,82.5,0.08,1,1,1,0,24,0.071,1,0,0.508,0,0.315,Low
SUP-0680,Thailand,PCB,16,1,6.4,873,0.713,798.0,43,0.062,76.8,0.24,4,1,1,0,10,0.67,2,0,0.486,1,0.492,Medium
SUP-0681,Taiwan,Semiconductors,1,2,26.7,4879,0.895,288.0,8,0.155,54.9,,2,0,0,0,52,0.075,2,1,0.92,0,0.761,Medium
SUP-0682,China,Semiconductors,17,6,34.9,5697,0.691,1610.0,12,0.004,70.9,0.15,5,1,0,0,30,0.547,1,0,0.469,0,0.541,Low
SUP-0683,Vietnam,PCB,3,1,31.9,443,0.841,159.0,18,0.135,46.7,0.33,3,1,0,0,10,0.728,3,0,0.787,0,0.546,Low
SUP-0684,Philippines,Passive Components,13,1,23.8,10,0.508,682.0,21,0.05,72.5,0.43,4,1,1,0,56,0.11,1,0,0.604,0,0.5,Medium
SUP-0685,Germany,Connectors,10,4,10.5,1779,0.676,272.0,17,0.166,73.8,1.87,2,1,0,0,33,0.566,2,1,0.743,1,0.131,Medium
SUP-0686,Germany,Memory,31,2,1699.1,210,0.992,333.0,26,0.023,25.8,0.17,1,1,1,0,5,0.366,3,0,0.436,0,0.052,Low
SUP-0687,Taiwan,Semiconductors,5,6,898.9,154,0.772,811.0,36,0.2,65.8,2.85,3,0,1,0,3,0.076,2,1,0.533,1,0.756,High
SUP-0688,India,Memory,1,1,9.6,250,0.75,176.0,56,0.156,73.3,1.33,3,1,0,1,5,0.241,2,1,0.595,1,0.463,Medium
SUP-0689,China,Passive Components,1,3,585.9,236,0.816,51.0,28,0.532,63.3,1.71,5,0,0,1,104,0.248,1,0,0.474,1,0.549,Medium
SUP-0690,Taiwan,Memory,21,1,30.0,841,0.731,367.0,12,0.363,72.2,2.12,5,1,0,0,7,0.749,0,0,0.85,2,0.718,High
SUP-0691,South Korea,Displays,8,1,66.3,62,0.9,376.0,18,0.05,38.2,1.12,1,1,1,0,131,0.45,3,1,0.447,0,0.357,Medium
SUP-0692,Japan,Semiconductors,17,3,49.7,110,0.698,798.0,19,0.004,49.5,1.24,2,1,0,0,6,0.122,3,0,0.485,1,0.108,Medium
